3.8593 	EXP 	New trial (rep=1, index=0): <Trial 2 (0 in rep 1) data={'mouse_stim_side': 'stimuli/mouse_left.jpg', 'thisN': 2, 'thisTrialN': 0, 'thisRepN': 1}>
3.8739 	EXP 	mouse_none: autoDraw = False
3.8739 	EXP 	image: autoDraw = False
3.8739 	EXP 	image: image = 'stimuli/mouse_left.jpg'
3.8739 	EXP 	mouse_none: autoDraw = True
3.9456 	DATA 	Mouse:  Left button up, pos=(557,281)
4.0741 	EXP 	mouse_none: autoDraw = False
4.0741 	EXP 	image: autoDraw = True
4.3469 	DATA 	Mouse: Left button down, pos=(557,281)
4.3476 	EXP 	New trial (rep=1, index=1): <Trial 3 (1 in rep 1) data={'mouse_stim_side': 'stimuli/mouse_right.jpg', 'thisN': 3, 'thisTrialN': 1, 'thisRepN': 1}>
4.3579 	EXP 	mouse_none: autoDraw = False
4.3579 	EXP 	image: autoDraw = False
4.3579 	EXP 	image: image = 'stimuli/mouse_right.jpg'
4.3579 	EXP 	mouse_none: autoDraw = True
4.4616 	DATA 	Mouse:  Left button up, pos=(557,281)
4.5572 	EXP 	mouse_none: autoDraw = False
4.5572 	EXP 	image: autoDraw = True
4.7947 	DATA 	Mouse: Right button down, pos=(557,281)
4.7950 	EXP 	New trial (rep=2, index=0): <Trial 4 (0 in rep 2) data={'mouse_stim_side': 'stimuli/mouse_right.jpg', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 2}>
4.8075 	EXP 	mouse_none: autoDraw = False
4.8075 	EXP 	image: autoDraw = False
4.8075 	EXP 	image: image = 'stimuli/mouse_right.jpg'
4.8075 	EXP 	mouse_none: autoDraw = True
4.9095 	DATA 	Mouse:  Right button up, pos=(557,281)
5.0075 	EXP 	mouse_none: autoDraw = False
5.0075 	EXP 	image: autoDraw = True
5.3258 	DATA 	Mouse: Right button down, pos=(557,281)
5.3261 	EXP 	New trial (rep=2, index=1): <Trial 5 (1 in rep 2) data={'mouse_stim_side': 'stimuli/mouse_left.jpg', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 2}>
5.3403 	EXP 	mouse_none: autoDraw = False
5.3403 	EXP 	image: autoDraw = False
5.3403 	EXP 	image: image = 'stimuli/mouse_left.jpg'
5.3403 	EXP 	mouse_none: autoDraw = True
5.4441 	DATA 	Mouse:  Right button up, pos=(557,281)
5.5407 	EXP 	mouse_none: autoDraw = False
5.5407 	EXP 	image: autoDraw = True
5.7779 	DATA 	Mouse: Left button down, pos=(557,281)
5.7783 	EXP 	New trial (rep=3, index=0): <Trial 6 (0 in rep 3) data={'mouse_stim_side': 'stimuli/mouse_right.jpg', 'thisN': 6, 'thisTrialN': 0, 'thisRepN': 3}>
5.7906 	EXP 	mouse_none: autoDraw = False
5.7906 	EXP 	image: autoDraw = False
