thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,image_2.started,mouse_2.started,mouse_none_2.stopped,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
8,0,4,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.33368819998577237],,,,,,,0,0,0,0,4,0,8,0,,,,,6.873923200007994,,,,,,,,,,,,,,,6.861845800012816,6.873923200007994,7.073677000007592,7.073677000007592,7.073677000007592,7.392969900043681,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.33368819998577237],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
9,1,4,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2688685999601148],,,,,,,0,0,0,0,4,1,9,1,,,,,7.407268100010697,,,,,,,,,,,,,,,7.3953581000096165,7.407268100010697,7.607518100005109,7.607518100005109,7.607518100005109,7.8629721000324935,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2688685999601148],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
10,0,5,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28323329996783286],,,,,,,0,0,0,0,5,0,10,0,,,,,7.874596900015604,,,,,,,,,,,,,,,7.868155600037426,7.874596900015604,8.074165099998936,8.074165099998936,8.074165099998936,8.343997800024226,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28323329996783286],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
11,1,5,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.22859519999474287],,,,,,,0,0,0,0,5,1,11,1,,,,,8.357168100017589,,,,,,,,,,,,,,,8.347441599995364,8.357168100017589,8.541776300000492,8.541776300000492,8.557758600043599,8.759258100006264,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.22859519999474287],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
12,0,6,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.24949040001956746],,,,,,,0,0,0,0,6,0,12,1,,,,,8.77371660002973,,,,,,,,,,,,,,,8.76146740000695,8.77371660002973,8.974173800030258,8.974173800030258,8.974173800030258,9.210099100018851,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.24949040001956746],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
13,1,6,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.3510462999693118],,,,,,,0,0,0,0,6,1,13,0,,,,,9.223877900047228,,,,,,,,,,,,,,,9.213192800001707,9.223877900047228,9.424028100038413,9.424028100038413,9.424028100038413,9.762151200033259,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.3510462999693118],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
14,0,7,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.23166769999079406],,,,,,,0,0,0,0,7,0,14,0,,,,,9.77468279999448,,,,,,,,,,,,,,,9.76481360004982,9.77468279999448,9.975110700004734,9.975110700004734,9.975110700004734,10.193336500029545,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.23166769999079406],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
15,1,7,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.39918010000837967],,,,,,,0,0,0,0,7,1,15,1,,,,,10.207348600029945,,,,,,,,,,,,,,,10.196114999998827,10.207348600029945,10.408078000007663,10.408078000007663,10.408078000007663,10.795380700030364,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.39918010000837967],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
16,0,8,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3188409999711439],,,,,,,0,0,0,0,8,0,16,1,,,,,10.807756700029131,,,,,,,,,,,,,,,10.798366900009569,10.807756700029131,11.008930600015447,11.008930600015447,11.008930600015447,11.313945800007787,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3188409999711439],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
17,1,8,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.21617910003988072],,,,,,,0,0,0,0,8,1,17,0,,,,,11.323888700047974,,,,,,,,,,,,,,,11.31794090004405,11.323888700047974,11.52360990003217,11.52360990003217,11.52360990003217,11.725943800003733,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.21617910003988072],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
18,0,9,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.2828770999913104],,,,,,,0,0,0,0,9,0,18,0,,,,,11.740547800029162,,,,,,,,,,,,,,,11.72803630004637,11.740547800029162,11.94221100001596,11.94221100001596,11.94221100001596,12.211668200034183,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.2828770999913104],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
19,1,9,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2673003999516368],,,,,,,0,0,0,0,9,1,19,1,,,,,12.224288700032048,,,,,,,,,,,,,,,12.214881299994886,12.224288700032048,12.42480350000551,12.42480350000551,12.42480350000551,12.679469900031108,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2673003999516368],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
0,0,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.5561650000163354],0,0,0,0,,,,,0,0,0,1,12.706896400020923,,,,,,,,,,,,,,,,,,,,,,,,,,,12.690306100004818,12.706896400020923,12.890372900001239,12.890372900001239,12.90701630001422,13.4329740999965,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.5561650000163354],pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
1,1,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.4017261000117287],0,0,0,0,,,,,0,1,1,0,13.440670000039972,,,,,,,,,,,,,,,,,,,,,,,,,,,13.436416800017469,13.440670000039972,13.640280599996913,13.640280599996913,13.640280599996913,14.0315627999953,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.4017261000117287],pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
2,0,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2849753000191413],0,0,0,0,,,,,1,0,2,1,14.040804000047501,,,,,,,,,,,,,,,,,,,,,,,,,,,14.034389000036754,14.040804000047501,14.241605999995954,14.241605999995954,14.241605999995954,14.512493500020355,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2849753000191413],pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
3,1,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2801642999984324],0,0,0,0,,,,,1,1,3,0,14.523858100001235,,,,,,,,,,,,,,,,,,,,,,,,,,,14.515417300048284,14.523858100001235,14.724750099994708,14.724750099994708,14.724750099994708,14.992732600017916,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2801642999984324],pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.456479600048624],,,,,,,1,0,1,0,0,0,0,0,,,,,15.007603500038385,,,,,,,,,,,,,,,14.998167000012472,15.007603500038385,15.207103800028563,15.207103800028563,15.207103800028563,15.648129600042012,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.456479600048624],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3203508000005968],,,,,,,1,0,1,0,0,1,1,1,,,,,15.657351900008507,,,,,,,,,,,,,,,15.651328000007197,15.657351900008507,15.858301100030076,15.858301100030076,15.858301100030076,16.16479619999882,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3203508000005968],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28241879999404773],,,,,,,1,0,1,0,1,0,2,0,,,,,16.173926800023764,,,,,,,,,,,,,,,16.16972980002174,16.173926800023764,16.374933400016744,16.374933400016744,16.374933400016744,16.64418200001819,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28241879999404773],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.19867940002586693],,,,,,,1,0,1,0,1,1,3,1,,,,,16.657989900035318,,,,,,,,,,,,,,,16.646286600036547,16.657989900035318,16.857277400034945,16.857277400034945,16.857277400034945,17.042447500047274,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.19867940002586693],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
